user_id,date_subscribed,no_newsletters_sent,source,blog_title
3589,2023-03-29,2,Organic Search,Gym Training
3007,2023-07-01,4,Social,Yoga
2475,2023-06-06,5,Direct,Diet
5333,2023-10-28,3,Social,Nutrition
2946,2023-02-19,5,Organic Search,Gym Training
6456,2023-06-22,4,Direct,Gym Training
1272,2023-10-27,5,Social,Yoga
4968,2023-12-30,1,Referral,Yoga
8837,2023-03-23,5,Email,Nutrition
5876,2023-12-14,5,Organic Search,Nutrition
2294,2023-01-19,5,Direct,Fitness
9700,2023-08-24,5,Direct,Fitness
2465,2023-04-19,4,Direct,Nutrition
2758,2023-09-24,2,Referral,Nutrition
5215,2023-03-09,2,Organic Search,Diet
3303,2023-01-23,4,Direct,Meditation
2936,2023-09-13,3,Organic Search,Yoga
8714,2023-10-29,5,Email,Yoga
9281,2023-07-23,4,Organic Search,Fitness
6049,2023-01-12,3,Direct,Yoga
7698,2023-09-22,2,Direct,Fitness
4648,2023-03-29,3,Email,Meditation
2102,2023-03-27,4,Email,Diet
6224,2023-12-20,5,Direct,Yoga
7244,2023-05-22,2,Social,Nutrition
5177,2023-03-18,2,Social,Gym Training
6455,2023-04-06,2,Direct,Nutrition
9401,2023-02-25,3,Referral,Fitness
6404,2023-11-02,1,Organic Search,Yoga
2217,2023-08-28,3,Organic Search,Yoga
1257,2023-10-24,5,Direct,Yoga
5379,2023-01-21,5,Organic Search,Gym Training
1154,2023-12-05,1,Social,Nutrition
6152,2023-07-02,1,Direct,Gym Training
6666,2023-03-09,3,Direct,Fitness
7227,2023-01-02,4,Social,Diet
6050,2023-07-21,4,Organic Search,Diet
6315,2023-04-08,5,Email,Meditation
3390,2023-04-21,3,Organic Search,Yoga
7483,2023-04-17,1,Organic Search,Yoga
9044,2023-10-26,2,Organic Search,Diet
7703,2023-09-13,3,Organic Search,Fitness
9796,2023-05-17,1,Social,Gym Training
8586,2023-06-15,2,Organic Search,Diet
4389,2023-05-01,1,Referral,Yoga
7985,2023-09-14,4,Social,Meditation
4371,2023-08-06,1,Direct,Gym Training
7431,2023-03-08,1,Referral,Meditation
3316,2023-12-13,1,Direct,Yoga
8939,2023-03-23,2,Direct,Gym Training
5729,2023-02-07,1,Direct,Gym Training
5055,2023-10-13,2,Organic Search,Yoga
4390,2023-12-01,3,Organic Search,Diet
5543,2023-01-28,3,Direct,Diet
2525,2023-10-28,3,Organic Search,Meditation
9105,2023-06-10,5,Direct,Nutrition
1011,2023-08-27,2,Organic Search,Yoga
2559,2023-05-14,3,Email,Fitness
5902,2023-02-01,1,Organic Search,Meditation
2646,2023-09-30,4,Organic Search,Gym Training
5842,2023-07-18,5,Direct,Diet
3830,2023-06-04,1,Social,Nutrition
7590,2023-09-12,2,Organic Search,Diet
4909,2023-05-16,1,Organic Search,Gym Training
5403,2023-02-27,3,Direct,Yoga
2685,2023-04-01,4,Direct,Nutrition
6241,2023-05-15,2,Direct,Nutrition
5777,2023-12-13,2,Organic Search,Nutrition
1023,2023-12-02,2,Organic Search,Fitness
9515,2023-08-30,5,Email,Yoga
3141,2023-06-19,1,Direct,Meditation
7660,2023-05-25,4,Social,Yoga
1802,2023-10-27,2,Organic Search,Diet
7098,2023-12-03,1,Referral,Gym Training
8096,2023-05-30,1,Email,Meditation
8848,2023-04-09,5,Social,Yoga
1427,2023-07-29,3,Organic Search,Nutrition
7363,2023-11-01,4,Social,Yoga
9064,2023-05-05,1,Direct,Nutrition
3907,2023-04-20,1,Direct,Meditation
3235,2023-12-12,4,Organic Search,Nutrition
7415,2023-08-20,5,Organic Search,Gym Training
2453,2023-12-19,5,Referral,Gym Training
7783,2023-01-28,4,Organic Search,Nutrition
3787,2023-01-20,1,Organic Search,Nutrition
6424,2023-01-02,2,Direct,Gym Training
2435,2023-06-28,4,Social,Nutrition
5341,2023-02-01,4,Social,Nutrition
6632,2023-01-29,1,Direct,Diet
1568,2023-12-30,5,Organic Search,Meditation
3422,2023-10-14,2,Social,Yoga
9561,2023-05-20,4,Organic Search,Gym Training
8955,2023-11-23,5,Referral,Diet
1331,2023-09-27,3,Organic Search,Meditation
9462,2023-11-01,1,Email,Diet
5087,2023-08-02,5,Social,Nutrition
6730,2023-07-06,4,Organic Search,Meditation
1145,2023-03-21,4,Direct,Yoga
5950,2023-05-03,1,Social,Yoga
5529,2023-11-27,1,Organic Search,Gym Training
7628,2023-02-05,3,Email,Yoga
3096,2023-08-02,3,Referral,Yoga
8598,2023-01-20,5,Direct,Nutrition
3470,2023-10-05,4,Referral,Yoga
3762,2023-07-14,3,Organic Search,Nutrition
7112,2023-03-02,4,Organic Search,Meditation
1749,2023-08-03,2,Organic Search,Yoga
3768,2023-07-19,1,Direct,Yoga
8772,2023-10-13,2,Organic Search,Yoga
9154,2023-03-27,5,Direct,Yoga
1208,2023-11-15,5,Email,Nutrition
5760,2023-05-16,4,Referral,Nutrition
6615,2023-08-11,2,Email,Nutrition
6875,2023-09-14,1,Direct,Fitness
9598,2023-08-23,4,Organic Search,Diet
3571,2023-10-25,2,Social,Meditation
2291,2023-11-21,4,Referral,Diet
8474,2023-10-30,4,Email,Gym Training
5783,2023-03-20,3,Social,Diet
4122,2023-12-03,4,Direct,Meditation
3903,2023-02-20,3,Organic Search,Meditation
9393,2023-07-24,2,Direct,Nutrition
7839,2023-09-09,2,Social,Fitness
5835,2023-05-22,2,Direct,Meditation
6122,2023-12-17,5,Direct,Yoga
9418,2023-08-06,3,Social,Meditation
5934,2023-05-01,4,Social,Nutrition
5809,2023-01-09,4,Organic Search,Fitness
9468,2023-11-11,4,Direct,Nutrition
7950,2023-11-28,2,Direct,Gym Training
7678,2023-04-13,1,Organic Search,Meditation
8170,2023-02-14,2,Direct,Gym Training
1082,2023-09-02,5,Organic Search,Meditation
1891,2023-04-14,3,Social,Diet
2143,2023-11-02,2,Direct,Gym Training
3200,2023-09-22,1,Direct,Nutrition
1305,2023-06-19,4,Organic Search,Fitness
9362,2023-10-05,5,Referral,Gym Training
4796,2023-08-26,3,Referral,Fitness
6985,2023-01-29,1,Direct,Gym Training
5600,2023-01-09,3,Referral,Gym Training
1706,2023-12-11,2,Email,Diet
4548,2023-12-02,4,Organic Search,Nutrition
2127,2023-08-29,2,Email,Gym Training
9835,2023-04-03,4,Organic Search,Nutrition
4809,2023-02-26,1,Social,Yoga
5155,2023-07-30,2,Referral,Gym Training
7522,2023-05-22,5,Referral,Fitness
1086,2023-08-22,2,Organic Search,Fitness
8192,2023-12-29,3,Email,Nutrition
7544,2023-08-09,4,Direct,Yoga
4187,2023-07-24,4,Organic Search,Nutrition
4985,2023-12-14,3,Referral,Yoga
9776,2023-03-27,3,Referral,Gym Training
4965,2023-06-29,4,Referral,Nutrition
5501,2023-04-25,2,Organic Search,Gym Training
1137,2023-06-04,3,Social,Yoga
7866,2023-10-19,3,Organic Search,Fitness
3450,2023-10-24,2,Referral,Meditation
8807,2023-05-10,1,Direct,Nutrition
9363,2023-04-26,1,Referral,Gym Training
5773,2023-03-02,2,Social,Nutrition
2687,2023-03-25,4,Social,Diet
5655,2023-12-19,3,Organic Search,Diet
3900,2023-04-23,2,Email,Diet
7753,2023-07-19,3,Referral,Fitness
4089,2023-03-10,1,Social,Gym Training
2121,2023-04-08,3,Direct,Yoga
8183,2023-01-21,3,Social,Gym Training
7429,2023-05-22,2,Social,Meditation
6113,2023-03-27,5,Referral,Meditation
8113,2023-12-05,2,Organic Search,Yoga
1983,2023-05-11,1,Direct,Fitness
3207,2023-07-13,2,Social,Gym Training
8362,2023-08-12,4,Organic Search,Meditation
6285,2023-07-27,2,Direct,Nutrition
7366,2023-05-12,3,Social,Meditation
7814,2023-03-12,3,Social,Gym Training
5075,2023-11-25,4,Referral,Gym Training
6319,2023-09-22,5,Email,Meditation
5660,2023-01-14,2,Direct,Gym Training
6827,2023-03-04,3,Referral,Nutrition
2562,2023-04-27,2,Referral,Nutrition
6354,2023-07-28,4,Referral,Meditation
1807,2023-04-07,3,Organic Search,Fitness
8046,2023-01-17,2,Organic Search,Yoga
4825,2023-06-13,5,Direct,Diet
1372,2023-10-15,4,Referral,Diet
5444,2023-03-14,3,Direct,Meditation
8503,2023-11-16,2,Direct,Nutrition
1482,2023-07-17,4,Social,Gym Training
4387,2023-03-09,4,Direct,Gym Training
3384,2023-03-26,5,Organic Search,Fitness
6886,2023-12-03,1,Organic Search,Nutrition
7767,2023-08-10,4,Social,Diet
7232,2023-07-23,3,Direct,Yoga
9456,2023-03-07,1,Email,Nutrition
9952,2023-07-10,3,Direct,Gym Training
7292,2023-09-23,3,Direct,Diet
5731,2023-03-20,2,Organic Search,Nutrition
8794,2023-01-14,5,Referral,Nutrition
1531,2023-09-30,3,Social,Yoga
6901,2023-08-11,2,Social,Nutrition
9666,2023-10-22,3,Referral,Nutrition
4812,2023-04-03,3,Social,Yoga
2111,2023-12-02,3,Referral,Gym Training
8849,2023-03-17,3,Organic Search,Fitness
6434,2023-09-16,4,Referral,Meditation
5448,2023-03-11,3,Email,Diet
8921,2023-06-19,2,Email,Fitness
1755,2023-09-02,3,Social,Fitness
5467,2023-07-28,4,Direct,Meditation
3806,2023-03-07,2,Social,Meditation
8304,2023-11-10,2,Referral,Nutrition
5227,2023-05-28,1,Direct,Gym Training
2752,2023-10-24,5,Direct,Yoga
8063,2023-03-06,2,Social,Yoga
7648,2023-08-13,4,Referral,Gym Training
8326,2023-09-14,5,Direct,Nutrition
6885,2023-07-22,1,Organic Search,Diet
6902,2023-08-22,3,Social,Nutrition
7813,2023-11-05,2,Organic Search,Gym Training
4878,2023-07-08,5,Direct,Yoga
9574,2023-05-09,3,Direct,Yoga
5827,2023-02-16,3,Referral,Fitness
2259,2023-03-07,4,Organic Search,Yoga
9640,2023-01-20,2,Direct,Gym Training
8602,2023-12-04,5,Referral,Meditation
8353,2023-04-03,4,Organic Search,Yoga
7408,2023-05-30,1,Social,Nutrition
9605,2023-05-17,1,Organic Search,Fitness
4027,2023-12-14,4,Social,Yoga
3915,2023-01-26,3,Referral,Nutrition
8305,2023-06-08,1,Organic Search,Yoga
2148,2023-10-04,1,Social,Meditation
5750,2023-05-22,5,Social,Fitness
9856,2023-12-03,5,Referral,Meditation
1604,2023-02-11,4,Organic Search,Gym Training
4613,2023-04-10,2,Email,Meditation
7801,2023-01-03,3,Referral,Gym Training
2460,2023-08-11,2,Social,Nutrition
2442,2023-10-08,5,Direct,Yoga
4409,2023-02-08,3,Organic Search,Nutrition
1859,2023-03-28,5,Organic Search,Fitness
7759,2023-02-19,5,Social,Nutrition
4181,2023-03-22,4,Direct,Nutrition
3568,2023-04-12,2,Direct,Meditation
8014,2023-07-13,5,Organic Search,Yoga
8852,2023-01-06,1,Organic Search,Yoga
5994,2023-11-22,2,Referral,Yoga
6454,2023-06-19,5,Email,Nutrition
1669,2023-04-27,1,Social,Yoga
5380,2023-03-10,5,Referral,Diet
8501,2023-06-01,5,Organic Search,Fitness
9870,2023-06-16,4,Referral,Gym Training
3161,2023-11-02,5,Email,Gym Training
3514,2023-05-16,5,Social,Diet
9845,2023-05-04,4,Email,Meditation
2840,2023-08-10,3,Organic Search,Nutrition
4197,2023-08-08,1,Direct,Diet
9381,2023-09-22,5,Referral,Nutrition
8278,2023-02-02,5,Direct,Yoga
7708,2023-07-23,2,Referral,Yoga
8593,2023-07-25,4,Organic Search,Yoga
5225,2023-01-20,2,Email,Fitness
6917,2023-02-04,2,Referral,Yoga
6761,2023-06-17,2,Organic Search,Yoga
2251,2023-04-22,5,Direct,Gym Training
4438,2023-02-13,4,Organic Search,Yoga
5145,2023-12-12,4,Social,Gym Training
6698,2023-03-04,1,Referral,Yoga
9800,2023-10-05,1,Organic Search,Fitness
6149,2023-03-24,3,Organic Search,Nutrition
7672,2023-09-27,4,Email,Nutrition
3764,2023-07-06,1,Direct,Meditation
3414,2023-02-25,2,Organic Search,Nutrition
2578,2023-11-17,1,Social,Nutrition
2951,2023-06-27,3,Social,Yoga
2792,2023-08-13,2,Direct,Nutrition
6779,2023-12-28,3,Direct,Meditation
7749,2023-04-08,4,Referral,Meditation
8695,2023-06-30,5,Social,Yoga
2234,2023-03-18,4,Organic Search,Nutrition
2256,2023-03-19,5,Social,Meditation
8656,2023-08-19,4,Referral,Nutrition
7757,2023-08-24,1,Direct,Yoga
1606,2023-09-02,1,Organic Search,Gym Training
2479,2023-08-07,4,Referral,Nutrition
6134,2023-07-14,3,Social,Diet
2850,2023-07-21,3,Organic Search,Diet
6067,2023-04-19,3,Direct,Meditation
3625,2023-06-03,3,Direct,Yoga
9973,2023-11-05,3,Referral,Yoga
7722,2023-05-24,5,Organic Search,Nutrition
7182,2023-08-13,1,Referral,Yoga
5262,2023-04-15,3,Social,Yoga
9096,2023-02-01,2,Referral,Gym Training
8682,2023-12-05,2,Referral,Yoga
8715,2023-04-05,4,Organic Search,Gym Training
9253,2023-06-08,4,Direct,Gym Training
3703,2023-03-01,1,Referral,Meditation
8653,2023-10-31,2,Direct,Yoga
9335,2023-01-10,5,Organic Search,Gym Training
2998,2023-03-18,4,Referral,Nutrition
1797,2023-01-08,4,Social,Nutrition
4411,2023-06-12,2,Organic Search,Diet
7358,2023-06-20,4,Social,Nutrition
2297,2023-02-04,3,Direct,Yoga
5151,2023-10-03,1,Social,Yoga
8371,2023-05-24,1,Organic Search,Gym Training
1217,2023-09-11,3,Direct,Yoga
4083,2023-02-12,4,Social,Yoga
3497,2023-09-26,5,Social,Diet
5764,2023-02-12,5,Organic Search,Gym Training
6681,2023-11-18,1,Organic Search,Meditation
7395,2023-10-16,4,Direct,Yoga
9089,2023-07-24,4,Social,Yoga
8968,2023-07-04,3,Organic Search,Nutrition
3736,2023-03-31,1,Direct,Nutrition
8760,2023-12-10,4,Direct,Fitness
8251,2023-11-25,4,Email,Nutrition
1947,2023-11-20,3,Organic Search,Nutrition
8244,2023-10-03,2,Direct,Nutrition
3621,2023-01-18,2,Referral,Fitness
3043,2023-07-09,2,Direct,Fitness
5057,2023-01-29,5,Direct,Nutrition
9622,2023-12-19,1,Direct,Nutrition
9408,2023-01-15,1,Organic Search,Gym Training
3511,2023-01-25,3,Social,Gym Training
1732,2023-03-26,2,Organic Search,Meditation
7478,2023-10-01,5,Social,Gym Training
9235,2023-08-03,5,Social,Nutrition
9052,2023-02-22,1,Direct,Nutrition
5187,2023-02-21,5,Organic Search,Fitness
6311,2023-01-23,4,Referral,Diet
8615,2023-06-12,1,Email,Diet
9199,2023-01-01,5,Social,Diet
8900,2023-09-21,5,Social,Gym Training
5578,2023-01-02,3,Direct,Gym Training
1156,2023-11-02,4,Organic Search,Diet
1138,2023-12-19,5,Social,Diet
1602,2023-01-24,5,Referral,Nutrition
3101,2023-12-08,1,Social,Fitness
1849,2023-01-02,1,Organic Search,Yoga
4188,2023-06-24,2,Referral,Fitness
1393,2023-10-06,2,Social,Nutrition
8314,2023-11-06,5,Organic Search,Diet
7581,2023-02-09,5,Direct,Meditation
1201,2023-02-20,1,Organic Search,Gym Training
1722,2023-03-28,3,Email,Meditation
1894,2023-06-02,3,Social,Yoga
3658,2023-03-16,1,Organic Search,Nutrition
4018,2023-03-14,1,Direct,Meditation
5654,2023-08-27,4,Organic Search,Diet
2818,2023-04-26,5,Organic Search,Yoga
8037,2023-03-18,3,Social,Diet
2333,2023-08-21,3,Email,Nutrition
1599,2023-07-08,4,Direct,Yoga
4771,2023-08-23,2,Social,Yoga
6883,2023-04-21,1,Direct,Nutrition
5496,2023-03-24,3,Social,Gym Training
8773,2023-07-30,2,Organic Search,Nutrition
3102,2023-02-25,4,Email,Meditation
6410,2023-03-04,4,Direct,Meditation
3910,2023-05-15,4,Organic Search,Nutrition
1180,2023-06-07,1,Social,Meditation
8778,2023-06-18,2,Email,Meditation
1640,2023-05-24,4,Direct,Nutrition
1715,2023-07-03,2,Organic Search,Yoga
6341,2023-04-30,1,Social,Nutrition
8606,2023-01-29,5,Social,Nutrition
1183,2023-10-09,3,Referral,Nutrition
4305,2023-01-17,4,Email,Fitness
9396,2023-08-27,2,Email,Nutrition
1196,2023-12-16,2,Organic Search,Meditation
6314,2023-07-06,4,Referral,Fitness
4808,2023-02-25,5,Direct,Yoga
4348,2023-03-16,3,Referral,Yoga
1885,2023-08-19,5,Direct,Gym Training
3318,2023-03-06,2,Email,Nutrition
5079,2023-10-26,1,Direct,Gym Training
8897,2023-05-02,4,Direct,Nutrition
8688,2023-12-06,5,Social,Gym Training
3660,2023-08-09,5,Organic Search,Yoga
5166,2023-10-30,2,Referral,Gym Training
5143,2023-10-25,4,Direct,Yoga
1025,2023-03-09,5,Social,Yoga
1966,2023-06-26,3,Social,Yoga
2651,2023-06-22,4,Email,Nutrition
6521,2023-11-13,3,Organic Search,Gym Training
5072,2023-06-05,5,Referral,Yoga
8800,2023-11-23,1,Email,Fitness
2895,2023-10-17,2,Social,Nutrition
6452,2023-02-01,5,Direct,Nutrition
6574,2023-12-23,2,Direct,Nutrition
6237,2023-08-07,2,Direct,Yoga
3389,2023-02-25,2,Referral,Yoga
4450,2023-09-04,5,Direct,Meditation
6706,2023-09-11,2,Referral,Yoga
5769,2023-02-12,3,Organic Search,Nutrition
9444,2023-04-11,4,Referral,Nutrition
8292,2023-04-19,1,Organic Search,Meditation
3051,2023-10-02,4,Organic Search,Yoga
4399,2023-11-06,2,Organic Search,Gym Training
1573,2023-07-30,4,Organic Search,Gym Training
6127,2023-02-16,2,Direct,Nutrition
7914,2023-12-29,3,Organic Search,Gym Training
4156,2023-09-06,5,Organic Search,Yoga
7664,2023-02-04,5,Direct,Fitness
6716,2023-08-04,3,Organic Search,Meditation
5244,2023-06-09,1,Organic Search,Gym Training
6799,2023-09-28,2,Referral,Diet
9074,2023-12-28,5,Organic Search,Gym Training
9652,2023-05-04,1,Organic Search,Gym Training
5092,2023-05-10,5,Social,Meditation
8542,2023-11-29,3,Referral,Nutrition
1113,2023-01-03,1,Organic Search,Nutrition
4251,2023-07-02,3,Direct,Gym Training
7370,2023-06-24,5,Referral,Nutrition
5623,2023-03-10,2,Email,Gym Training
3436,2023-03-22,4,Email,Fitness
7980,2023-01-01,3,Direct,Gym Training
6269,2023-03-28,2,Social,Nutrition
5521,2023-12-27,4,Organic Search,Gym Training
4309,2023-07-10,5,Social,Gym Training
9255,2023-05-26,3,Email,Yoga
4015,2023-01-15,4,Social,Nutrition
3427,2023-12-11,4,Direct,Diet
9999,2023-03-22,5,Direct,Nutrition
4341,2023-12-10,4,Social,Nutrition
3955,2023-05-18,5,Social,Yoga
1339,2023-11-07,3,Social,Gym Training
2392,2023-10-28,5,Direct,Gym Training
2684,2023-12-02,4,Direct,Nutrition
7303,2023-12-03,5,Organic Search,Diet
2389,2023-11-10,2,Direct,Yoga
3435,2023-06-29,2,Organic Search,Gym Training
8885,2023-01-31,2,Direct,Diet
7911,2023-05-12,5,Social,Fitness
3283,2023-11-01,4,Referral,Gym Training
3591,2023-09-21,4,Social,Meditation
8274,2023-12-01,1,Social,Fitness
9222,2023-10-27,5,Organic Search,Nutrition
2264,2023-03-29,2,Direct,Fitness
3666,2023-04-25,4,Referral,Yoga
6056,2023-08-02,5,Direct,Yoga
1612,2023-05-12,3,Direct,Diet
8059,2023-07-19,5,Social,Nutrition
2428,2023-05-13,2,Referral,Diet
5696,2023-09-12,1,Social,Nutrition
1130,2023-11-30,1,Organic Search,Gym Training
7503,2023-12-26,5,Direct,Meditation
7230,2023-04-10,1,Referral,Meditation
2338,2023-12-09,5,Social,Gym Training
8890,2023-11-23,3,Social,Yoga
3416,2023-08-07,3,Email,Diet
4541,2023-05-30,2,Direct,Yoga
6770,2023-04-14,5,Social,Gym Training
8167,2023-07-03,2,Social,Nutrition
1534,2023-07-04,2,Direct,Meditation
5384,2023-07-22,2,Email,Nutrition
7412,2023-02-06,1,Referral,Yoga
3069,2023-01-10,2,Organic Search,Gym Training
3138,2023-08-17,4,Organic Search,Yoga
2694,2023-12-16,4,Organic Search,Meditation
2250,2023-02-27,3,Social,Gym Training
5169,2023-03-14,5,Organic Search,Nutrition
2506,2023-10-17,2,Referral,Nutrition
8992,2023-04-17,1,Direct,Yoga
9691,2023-06-19,3,Social,Gym Training
6268,2023-04-26,1,Direct,Meditation
6244,2023-01-07,2,Direct,Meditation
1076,2023-04-10,2,Social,Gym Training
6665,2023-01-18,1,Social,Diet
1170,2023-04-30,3,Organic Search,Diet
7218,2023-08-29,3,Direct,Fitness
5596,2023-03-10,1,Direct,Nutrition
2712,2023-01-25,5,Direct,Gym Training
7931,2023-06-23,4,Direct,Fitness
9698,2023-01-18,4,Email,Yoga
7267,2023-12-16,4,Direct,Meditation
4597,2023-09-25,3,Social,Diet
5395,2023-03-10,2,Referral,Fitness
8458,2023-11-14,5,Organic Search,Yoga
8742,2023-09-25,2,Referral,Gym Training
9940,2023-05-11,1,Direct,Fitness
1506,2023-11-28,1,Direct,Nutrition
6715,2023-07-01,1,Email,Nutrition
3410,2023-04-14,4,Email,Nutrition
3022,2023-02-21,5,Referral,Nutrition
4223,2023-10-20,3,Referral,Nutrition
3280,2023-02-04,1,Social,Fitness
9627,2023-08-12,3,Social,Fitness
5954,2023-01-31,1,Social,Yoga
5426,2023-03-23,5,Social,Gym Training
3535,2023-01-09,4,Organic Search,Gym Training
9287,2023-03-04,2,Direct,Diet
9956,2023-01-11,1,Organic Search,Yoga
8488,2023-11-25,1,Social,Gym Training
9602,2023-02-17,3,Organic Search,Nutrition
6309,2023-09-23,2,Organic Search,Diet
7882,2023-04-02,4,Email,Gym Training
8168,2023-03-09,1,Organic Search,Diet
9653,2023-02-12,5,Referral,Nutrition
4777,2023-08-14,5,Referral,Diet
9944,2023-03-27,2,Email,Nutrition
2194,2023-07-04,2,Social,Yoga
6738,2023-05-21,3,Direct,Gym Training
7180,2023-03-26,4,Referral,Nutrition
1164,2023-04-13,1,Direct,Gym Training
6146,2023-09-14,1,Referral,Gym Training
6848,2023-04-12,2,Referral,Fitness
3246,2023-11-01,4,Email,Meditation
5428,2023-03-16,2,Email,Nutrition
4021,2023-11-12,2,Email,Yoga
1935,2023-10-19,1,Organic Search,Gym Training
5495,2023-04-22,2,Direct,Nutrition
6259,2023-12-13,4,Social,Nutrition
8216,2023-07-21,1,Direct,Nutrition
4734,2023-07-06,4,Direct,Meditation
4882,2023-05-15,3,Social,Meditation
5765,2023-05-19,4,Direct,Nutrition
2285,2023-11-01,4,Direct,Fitness
5801,2023-11-29,3,Direct,Nutrition
8932,2023-02-12,1,Referral,Meditation
7692,2023-09-09,4,Direct,Meditation
2196,2023-09-26,5,Organic Search,Gym Training
6815,2023-06-09,1,Organic Search,Diet
9334,2023-12-14,3,Organic Search,Yoga
1687,2023-11-19,5,Direct,Gym Training
5726,2023-01-03,5,Direct,Diet
1422,2023-09-24,5,Social,Fitness
2908,2023-03-11,3,Organic Search,Gym Training
1583,2023-06-08,3,Organic Search,Gym Training
9039,2023-06-28,3,Organic Search,Yoga
7425,2023-08-29,1,Direct,Yoga
6694,2023-05-30,4,Social,Diet
8240,2023-08-09,5,Direct,Gym Training
1326,2023-04-16,1,Direct,Nutrition
3644,2023-04-14,5,Organic Search,Meditation
1397,2023-09-25,4,Email,Meditation
4183,2023-07-24,3,Organic Search,Yoga
8919,2023-10-08,5,Direct,Fitness
8325,2023-05-27,4,Direct,Nutrition
9575,2023-07-18,2,Organic Search,Yoga
6128,2023-01-15,1,Social,Meditation
