user_id,conversion_stage,conversion,plan_opted,plan_duration,price
7750,2023-12-11,TRUE,Pro,Monthly,40
6528,2024-04-15,TRUE,Basic,Annually,200
3773,2024-02-09,TRUE,Pro Plus,Monthly,50
2630,2023-10-16,TRUE,Pro,Monthly,40
6010,2023-06-14,TRUE,Pro,Monthly,40
9725,2023-10-20,TRUE,Basic,Quarterly,60
3544,2023-12-28,TRUE,Basic,Monthly,25
5028,2023-12-05,TRUE,Pro,Quarterly,70
4746,2024-06-20,TRUE,Basic,Quarterly,60
2390,2024-03-09,TRUE,Pro Plus,Monthly,50
7920,2024-04-16,TRUE,Pro,Monthly,40
3420,2023-07-16,TRUE,Basic,Quarterly,60
6567,2023-08-27,TRUE,Pro,Monthly,40
9009,2023-10-05,TRUE,Pro Plus,Annually,250
6680,2023-12-29,TRUE,Basic,Monthly,25
7371,2023-08-05,TRUE,Basic,Monthly,25
9735,2023-08-21,TRUE,Pro,Monthly,40
1039,2023-11-16,TRUE,Pro Plus,Annually,250
7140,2023-07-18,TRUE,Pro Plus,Quarterly,80
3558,2024-01-18,TRUE,Pro,Monthly,40
3826,2023-11-16,TRUE,Pro,Quarterly,70
8568,2023-09-07,TRUE,Basic,Monthly,25
4668,2023-11-27,TRUE,Pro,Quarterly,70
7024,2023-10-03,TRUE,Basic,Monthly,25
7058,2023-05-15,TRUE,Pro,Monthly,40
6858,2024-05-19,TRUE,Basic,Monthly,25
3732,2024-08-15,TRUE,Pro,Monthly,40
1342,2023-10-02,TRUE,Basic,Quarterly,60
2930,2024-04-07,TRUE,Pro,Monthly,40
2470,2023-06-12,TRUE,Basic,Monthly,25
3765,2024-01-23,TRUE,Pro,Monthly,40
8617,2023-09-23,TRUE,Pro,Annually,220
8442,2023-12-01,TRUE,Pro,Monthly,40
6685,2023-08-01,TRUE,Pro Plus,Annually,250
1095,2023-04-07,TRUE,Basic,Monthly,25
7687,2024-01-23,TRUE,Basic,Monthly,25
9642,2023-06-04,TRUE,Pro,Quarterly,70
7542,2024-01-05,TRUE,Pro,Annually,220
3865,2024-04-10,TRUE,Pro,Monthly,40
2125,2024-03-07,TRUE,Basic,Quarterly,60
4785,2023-07-25,TRUE,Pro,Quarterly,70
1584,2023-11-22,TRUE,Pro Plus,Monthly,50
7261,2023-08-14,TRUE,Basic,Monthly,25
2346,2023-11-28,TRUE,Pro,Quarterly,70
7318,2023-06-28,TRUE,Pro Plus,Monthly,50
6254,2023-12-19,TRUE,Pro,Monthly,40
9954,2023-07-31,TRUE,Pro,Monthly,40
7382,2023-11-03,TRUE,Pro Plus,Monthly,50
4907,2024-01-04,TRUE,Pro,Quarterly,70
9232,2023-09-11,TRUE,Basic,Monthly,25
8854,2023-07-10,TRUE,Pro Plus,Monthly,50
1709,2024-05-05,TRUE,Basic,Monthly,25
1125,2023-04-13,TRUE,Pro,Monthly,40
8873,2023-07-08,TRUE,Pro,Quarterly,70
8121,2023-09-26,TRUE,Basic,Quarterly,60
9790,2023-08-16,TRUE,Pro,Monthly,40
1070,2023-12-04,TRUE,Pro,Monthly,40
6099,2023-08-13,TRUE,Basic,Monthly,25
4561,2023-08-13,TRUE,Pro,Monthly,40
6579,2024-02-03,TRUE,Basic,Annually,200
4150,2023-12-15,TRUE,Pro,Monthly,40
9160,2024-01-17,TRUE,Pro,Quarterly,70
2535,2023-10-10,TRUE,Pro,Monthly,40
8230,2024-02-22,TRUE,Pro,Monthly,40
6114,2023-07-31,TRUE,Pro,Monthly,40
7807,2023-12-31,TRUE,Basic,Monthly,25
6363,2024-04-08,TRUE,Pro,Monthly,40
9376,2024-01-19,TRUE,Pro,Monthly,40
7720,2023-12-12,TRUE,Basic,Quarterly,60
9288,2023-08-20,TRUE,Pro,Monthly,40
2571,2024-06-27,TRUE,Pro,Quarterly,70
1421,2024-04-17,TRUE,Basic,Monthly,25
1666,2024-05-11,TRUE,Basic,Quarterly,60
9034,2023-12-27,TRUE,Pro,Monthly,40
8808,2024-06-14,TRUE,Pro,Monthly,40
2618,2024-03-22,TRUE,Pro Plus,Monthly,50
1417,2024-04-21,TRUE,Basic,Quarterly,60
8345,2023-05-25,TRUE,Pro,Quarterly,70
4370,2023-10-27,TRUE,Pro,Quarterly,70
7705,2024-02-04,TRUE,Basic,Quarterly,60
7541,2023-09-30,TRUE,Pro,Monthly,40
4842,2024-01-08,TRUE,Basic,Monthly,25
8775,2023-07-17,TRUE,Pro,Monthly,40
5621,2024-06-08,TRUE,Basic,Quarterly,60
8981,2024-04-08,TRUE,Basic,Quarterly,60
6016,2024-03-12,TRUE,Basic,Annually,200
2310,2023-07-01,TRUE,Basic,Monthly,25
1016,2023-09-09,TRUE,Basic,Monthly,25
1294,2023-08-25,TRUE,Basic,Monthly,25
3377,2024-01-27,TRUE,Pro,Quarterly,70
4817,2024-02-13,TRUE,Pro,Monthly,40
5016,2024-04-08,TRUE,Pro,Quarterly,70
1798,2023-07-25,TRUE,Pro,Quarterly,70
8092,2023-07-07,TRUE,Pro,Quarterly,70
6097,2024-03-15,TRUE,Pro,Monthly,40
2670,2023-11-26,TRUE,Pro Plus,Monthly,50
3351,2024-05-12,TRUE,Basic,Quarterly,60
8846,2024-04-30,TRUE,Pro,Annually,220
3556,2023-09-06,TRUE,Pro,Monthly,40
6118,2024-06-28,TRUE,Basic,Annually,200
4514,2024-06-21,TRUE,Pro,Quarterly,70
2214,2023-06-17,TRUE,Pro,Monthly,40
9067,2024-05-02,TRUE,Pro,Quarterly,70
5841,2024-03-24,TRUE,Basic,Quarterly,60
7621,2023-10-17,TRUE,Basic,Quarterly,60
8065,2023-05-31,TRUE,Pro,Monthly,40
9770,2024-01-04,TRUE,Basic,Monthly,25
4001,2024-04-19,TRUE,Pro,Monthly,40
7512,2023-12-02,TRUE,Basic,Quarterly,60
7432,2023-06-13,TRUE,Pro,Quarterly,70
1312,2023-07-01,TRUE,Pro,Monthly,40
2868,2023-11-23,TRUE,Basic,Quarterly,60
8913,2024-03-27,TRUE,Pro,Quarterly,70
2800,2024-06-21,TRUE,Basic,Quarterly,60
8502,2023-07-22,TRUE,Pro,Monthly,40
9584,2023-09-30,TRUE,Basic,Monthly,25
4437,2023-11-22,TRUE,Basic,Monthly,25
5990,2023-06-24,TRUE,Pro,Monthly,40
3633,2023-07-02,TRUE,Pro,Quarterly,70
5647,2024-03-26,TRUE,Pro,Monthly,40
6551,2024-02-14,TRUE,Pro,Annually,220
9601,2023-09-07,TRUE,Pro Plus,Annually,250
5531,2024-04-28,TRUE,Basic,Monthly,25
2884,2024-07-03,TRUE,Pro,Quarterly,70
1388,2023-09-25,TRUE,Pro,Monthly,40
6043,2024-02-28,TRUE,Pro,Quarterly,70
8565,2023-11-18,TRUE,Pro,Monthly,40
5706,2023-08-07,TRUE,Pro,Quarterly,70
7357,2024-02-08,TRUE,Pro,Quarterly,70
2050,2023-07-20,TRUE,Pro,Quarterly,70
8226,2023-12-02,TRUE,Pro,Monthly,40
6044,2023-08-04,TRUE,Pro Plus,Monthly,50
9682,2023-12-06,TRUE,Pro,Monthly,40
2749,2024-03-10,TRUE,Pro Plus,Monthly,50
9788,2024-02-06,TRUE,Pro,Quarterly,70
1685,2024-03-19,TRUE,Basic,Monthly,25
8595,2023-06-22,TRUE,Pro Plus,Monthly,50
